module	width	recipe	class	source_sha256	worst_arrival_ps	worst_output	area_um2
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	8	classic	control	0bd2890b108ea1dd391b835d5d891a9977971ce8d6a1d37707be05f426d24ace	2770.0	y[17]	4449.27
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	8	default	control	3816d7091e7c8bd3e6246d95d9b654f7335a3463f381b63144a9924609c028cc	4120.0	y[20]	2583.73
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	8	classic	control	3816d7091e7c8bd3e6246d95d9b654f7335a3463f381b63144a9924609c028cc	2950.0	y[17]	3241.86
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	8	default	control	ae6f688bd0d5eeac4da26542d62d5f7b00a34691f66a3bdfeb52adf83e403b4a	5760.0	y[17]	2488.64
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	8	classic	control	ae6f688bd0d5eeac4da26542d62d5f7b00a34691f66a3bdfeb52adf83e403b4a	3470.0	y[17]	3405.77
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_default	8	default	control	e6a306eaa76f618f1d09c4fd1deebe499dc4bb99525e2eac85179f493fa6e627	4640.0	y[17]	2421.07
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	8	classic	control	e6a306eaa76f618f1d09c4fd1deebe499dc4bb99525e2eac85179f493fa6e627	3440.0	y[17]	4013.85
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	8	default	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e	5320.0	y[17]	2458.61
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	8	classic	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e	3250.0	y[17]	4314.14
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	8	default	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4	4760.0	y[17]	2662.55
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	8	classic	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4	3280.0	y[17]	3513.37
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	8	default	control	8ee91389addcd580b4707f6e5e0f7d1edfb9f75d42a323f4006ec33ebfcc9297	4510.0	y[17]	2553.70
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_classic	8	classic	control	8ee91389addcd580b4707f6e5e0f7d1edfb9f75d42a323f4006ec33ebfcc9297	3350.0	y[17]	4570.63
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_default	8	default	control	63f6476e1370ebc43d35db746d6e78e7467e782e602c1e753036037d8b5c9ed0	4860.0	y[17]	2671.31
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_classic	8	classic	control	63f6476e1370ebc43d35db746d6e78e7467e782e602c1e753036037d8b5c9ed0	3210.0	y[17]	3432.04
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_default	8	default	control	f52dd1575f23d184663807dd82e43adc9b9e40d36c242064193286e625b89d53	4370.0	y[17]	2705.09
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_classic	8	classic	control	f52dd1575f23d184663807dd82e43adc9b9e40d36c242064193286e625b89d53	2910.0	y[17]	4255.33
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_default	8	default	control	77514b8782117b3906141426e5c7d6764af4c01849176f48dbce19dfb285a8b9	4960.0	y[23]	2671.31
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_classic	8	classic	control	77514b8782117b3906141426e5c7d6764af4c01849176f48dbce19dfb285a8b9	3200.0	y[17]	3439.55
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_default	8	default	control	a70fe9172a219794cb33494cafc8fe4e6c88941f71260595dfb8fa0838c5668e	4850.0	y[17]	2727.62
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_classic	8	classic	control	a70fe9172a219794cb33494cafc8fe4e6c88941f71260595dfb8fa0838c5668e	2920.0	y[17]	4848.40
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_default	8	default	control	fd65c390e64fe7e026521f2ba7d1e93cbc75b2e982f3802d0883c1c651486921	5600.0	y[23]	2770.16
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_classic	8	classic	control	fd65c390e64fe7e026521f2ba7d1e93cbc75b2e982f3802d0883c1c651486921	3660.0	y[17]	3492.10
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_default	8	default	control	a24e1e1c76d0cc514e188e964e6f795bb20f08af31acad743044419cb6b23714	3780.0	y[17]	2670.06
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_classic	8	classic	control	a24e1e1c76d0cc514e188e964e6f795bb20f08af31acad743044419cb6b23714	3150.0	y[17]	4067.65
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_default	8	default	control	2c86e1cdeb13e4f1e228f8488c2ae47421753bb1220d4d551c9a8980c2452731	4850.0	y[17]	2656.30
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_classic	8	classic	control	2c86e1cdeb13e4f1e228f8488c2ae47421753bb1220d4d551c9a8980c2452731	3390.0	y[17]	3592.20
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_default	8	default	control	688dbd1162470ac1a283f435f30c2533ae25fced85fbdca0044737b02f5f31ef	4430.0	y[17]	2660.05
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_classic	8	classic	control	688dbd1162470ac1a283f435f30c2533ae25fced85fbdca0044737b02f5f31ef	3120.0	y[17]	4529.34
mac8_requant_behavioral_default	8	default	behavioral	ffe5950788df7a7447efcddd0cfef099cab1fd22bc4f47e9bd2eeb2754899d99	6370.0	y[17]	2632.52
mac8_requant_behavioral_classic	8	classic	behavioral	ffe5950788df7a7447efcddd0cfef099cab1fd22bc4f47e9bd2eeb2754899d99	3570.0	y[17]	4385.46
mul8_mac_requant_evo608_default	8	default	candidate	64d57063a6cb141326c4d1280c839b7e32f92916a1eb3fec75bdb81cafc4fe3e	4800.0	y[17]	2462.36
mul8_mac_requant_evo608_classic	8	classic	candidate	64d57063a6cb141326c4d1280c839b7e32f92916a1eb3fec75bdb81cafc4fe3e	3380.0	y[17]	3886.23
mul8_mac_requant_evo608_norules_default	8	default	ablation	d3de662438d218a19dfafaf25f73b9316e89d00a6bb3737eee53b60df77bb373	4640.0	y[17]	2421.07
mul8_mac_requant_evo608_norules_classic	8	classic	ablation	d3de662438d218a19dfafaf25f73b9316e89d00a6bb3737eee53b60df77bb373	3440.0	y[17]	4013.85
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	16	default	control	53afb9b49f1c069e20419f404a976102f6bbb8855e0fb6a4b4053adcf91de061	7930.0	y[38]	9392.76
