module	worst_arrival_ps	worst_output	area_um2
mul16_mac_requant_evo608_classic	4740.0	y[33]	14417.58
mul16_mac_requant_evo608_default	7400.0	y[45]	9123.75
mul16_mac_requant_evo608_norules_classic	5540.0	y[33]	14156.08
mul16_mac_requant_evo608_norules_default	7630.0	y[42]	9285.16
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	3320.0	y[17]	3435.80
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	5570.0	y[17]	2546.19
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	3420.0	y[17]	3817.41
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	4820.0	y[21]	2668.81
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	3360.0	y[17]	3343.21
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	6160.0	y[17]	2612.51
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	3260.0	y[17]	3889.98
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	4980.0	y[22]	2731.37
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	3250.0	y[17]	3385.75
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	5030.0	y[20]	2631.27
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	3290.0	y[17]	3797.39
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	5100.0	y[21]	2622.52
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	3270.0	y[17]	3346.96
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_default	5310.0	y[26]	2581.23
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	3390.0	y[17]	3724.82
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	5260.0	y[20]	2568.71
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	3270.0	y[17]	3462.07
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	4980.0	y[17]	2685.08
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	3380.0	y[17]	3706.05
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	5750.0	y[18]	2522.42
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	3090.0	y[17]	3789.88
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	4320.0	y[21]	2437.34
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_classic	3080.0	y[17]	4046.38
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	5200.0	y[17]	2461.11
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_classic	3450.0	y[17]	3824.92
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_default	4880.0	y[17]	2413.56
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_classic	3010.0	y[17]	4230.31
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_default	5570.0	y[20]	2446.10
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_classic	3040.0	y[24]	4086.42
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_default	4560.0	y[17]	2532.43
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	2770.0	y[17]	4449.27
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_default	4670.0	y[23]	2566.21
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	2950.0	y[17]	3241.86
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	4120.0	y[20]	2583.73
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	3470.0	y[17]	3405.77
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	5760.0	y[17]	2488.64
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	3440.0	y[17]	4013.85
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_default	4640.0	y[17]	2421.07
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	3250.0	y[17]	4314.14
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	5320.0	y[17]	2458.61
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	3280.0	y[17]	3513.37
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	4760.0	y[17]	2662.55
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_classic	3350.0	y[17]	4570.63
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	4510.0	y[17]	2553.70
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_classic	3210.0	y[17]	3432.04
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_default	4860.0	y[17]	2671.31
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_classic	2910.0	y[17]	4255.33
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_default	4370.0	y[17]	2705.09
