module	width	recipe	class	source_sha256
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	8	classic	control	e6a306eaa76f618f1d09c4fd1deebe499dc4bb99525e2eac85179f493fa6e627
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	8	default	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	8	classic	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	8	default	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	8	classic	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	8	default	control	8ee91389addcd580b4707f6e5e0f7d1edfb9f75d42a323f4006ec33ebfcc9297
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_classic	8	classic	control	8ee91389addcd580b4707f6e5e0f7d1edfb9f75d42a323f4006ec33ebfcc9297
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_default	8	default	control	63f6476e1370ebc43d35db746d6e78e7467e782e602c1e753036037d8b5c9ed0
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_mux_classic	8	classic	control	63f6476e1370ebc43d35db746d6e78e7467e782e602c1e753036037d8b5c9ed0
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_default	8	default	control	f52dd1575f23d184663807dd82e43adc9b9e40d36c242064193286e625b89d53
mul8_mac_fused_fast_shared_ctrl_wallace_hancarlson_xormaj_classic	8	classic	control	f52dd1575f23d184663807dd82e43adc9b9e40d36c242064193286e625b89d53
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_default	8	default	control	77514b8782117b3906141426e5c7d6764af4c01849176f48dbce19dfb285a8b9
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_mux_classic	8	classic	control	77514b8782117b3906141426e5c7d6764af4c01849176f48dbce19dfb285a8b9
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_default	8	default	control	a70fe9172a219794cb33494cafc8fe4e6c88941f71260595dfb8fa0838c5668e
mul8_mac_fused_fast_shared_ctrl_wallace_koggestone_xormaj_classic	8	classic	control	a70fe9172a219794cb33494cafc8fe4e6c88941f71260595dfb8fa0838c5668e
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_default	8	default	control	fd65c390e64fe7e026521f2ba7d1e93cbc75b2e982f3802d0883c1c651486921
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_mux_classic	8	classic	control	fd65c390e64fe7e026521f2ba7d1e93cbc75b2e982f3802d0883c1c651486921
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_default	8	default	control	a24e1e1c76d0cc514e188e964e6f795bb20f08af31acad743044419cb6b23714
mul8_mac_fused_fast_shared_ctrl_wallace_ripple_xormaj_classic	8	classic	control	a24e1e1c76d0cc514e188e964e6f795bb20f08af31acad743044419cb6b23714
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_default	8	default	control	2c86e1cdeb13e4f1e228f8488c2ae47421753bb1220d4d551c9a8980c2452731
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_mux_classic	8	classic	control	2c86e1cdeb13e4f1e228f8488c2ae47421753bb1220d4d551c9a8980c2452731
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_default	8	default	control	688dbd1162470ac1a283f435f30c2533ae25fced85fbdca0044737b02f5f31ef
mul8_mac_fused_fast_shared_ctrl_wallace_sklansky_xormaj_classic	8	classic	control	688dbd1162470ac1a283f435f30c2533ae25fced85fbdca0044737b02f5f31ef
mac8_requant_behavioral_default	8	default	behavioral	ffe5950788df7a7447efcddd0cfef099cab1fd22bc4f47e9bd2eeb2754899d99
mac8_requant_behavioral_classic	8	classic	behavioral	ffe5950788df7a7447efcddd0cfef099cab1fd22bc4f47e9bd2eeb2754899d99
