module	class	recipe	worst_arrival_ps	area_um2	mapped_sha256
mul24_mac_replay_candidate_classic	candidate	classic	11600.0	30415	93198af00868be09d1252956de0580e5b954417aa9ab0e7f9513550119684ed4
mul24_mac_replay_ctrl_wallace_brentkung_mux_classic	prior_textbook_control	classic	11500.0	28836	50700c3fe0db7605357fa731a440b1a82ca3f66c90c4e4273d5a6a895e93979b
